open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1709596800000,68296.50,68824.70,67827.00,68603.30,42957.536,1709603999999,2937188291.23950,694243,21782.785,1489600541.80297,0
1709604000000,68603.40,68639.20,67616.20,68203.80,36571.142,1709611199999,2491470404.06611,426856,16999.942,1158270701.90721,0
1709611200000,68203.70,68484.50,65021.10,67062.40,84203.336,1709618399999,5632496797.47634,920547,39327.539,2630691513.68613,0
1709618400000,67062.40,67566.70,66179.60,66223.80,40613.947,1709625599999,2719030285.59268,537273,18761.277,1256653673.35602,0
1709625600000,66223.80,66988.80,65600.00,66518.90,45393.156,1709632799999,3015830739.23394,584613,22712.702,1509445346.13617,0
1709632800000,66518.90,67290.30,66518.90,66749.00,25642.958,1709639999999,1715147244.19265,389053,13090.716,875604175.04135,0
1709640000000,66749.10,68142.00,66669.50,67851.90,42517.211,1709647199999,2873718503.10407,534402,21907.116,1480320079.99947,0
1709647200000,67851.90,69350.00,66484.00,66841.30,154976.514,1709654399999,10522523412.92205,1621167,74594.445,5066881480.87700,0
1709654400000,66839.80,67096.50,63500.10,65660.70,196231.203,1709661599999,12790911203.27365,1997029,94691.491,6174212795.74425,0
1709661600000,65660.70,65660.70,59112.00,61510.20,183191.081,1709668799999,11460669776.17585,1707050,81101.699,5077380780.79893,0
1709668800000,61497.30,64035.50,61202.30,63301.10,147290.459,1709675999999,9237456409.76121,1567650,73777.210,4627895594.51751,0
1709676000000,63301.20,64393.90,62504.00,63747.40,53436.589,1709683199999,3389054114.24228,607945,27378.249,1736409549.83171,0
