open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1711584000000,69532.60,69539.50,69441.40,69524.20,480.372,1711584179999,33378193.06630,8427,240.495,16710998.20780,0
1711584180000,69524.20,69603.70,69486.10,69603.60,320.483,1711584359999,22285564.85100,5365,212.398,14769124.68070,0
1711584360000,69603.60,69610.50,69552.20,69591.30,375.780,1711584539999,26149500.63960,5906,176.878,12309130.20440,0
1711584540000,69591.30,69631.70,69560.80,69587.70,382.679,1711584719999,26634286.61220,6116,160.105,11143486.86890,0
1711584720000,69587.60,69605.00,69569.90,69595.60,140.129,1711584899999,9751156.69580,3188,85.547,5953031.22700,0
1711584900000,69595.60,69650.00,69527.50,69629.90,274.872,1711585079999,19127399.75740,6004,132.541,9224871.75400,0
1711585080000,69630.00,70028.00,69629.90,69984.00,2766.037,1711585259999,193273489.69042,30651,1819.708,127143059.44712,0
1711585260000,69984.10,70081.90,69848.70,69940.00,1311.877,1711585439999,91800476.93550,18597,694.677,48622401.51160,0
1711585440000,69939.80,69983.30,69854.10,69979.70,622.116,1711585619999,43500711.51860,10519,330.192,23089142.07430,0
1711585620000,69979.70,69979.70,69870.60,69870.70,363.544,1711585799999,25418239.33980,7048,148.625,10390752.43360,0
1711585800000,69870.60,69902.00,69769.80,69785.10,651.873,1711585979999,45520033.08760,10944,187.413,13088790.05450,0
1711585980000,69785.20,69788.20,69608.40,69642.60,1308.242,1711586159999,91196451.71740,15491,356.252,24834739.63160,0
1711586160000,69642.60,69674.80,69571.00,69605.90,820.687,1711586339999,57125982.03730,8512,356.143,24788596.06490,0
1711586340000,69605.90,69606.80,69500.00,69599.20,643.668,1711586519999,44771319.44120,9018,296.911,20653637.28590,0
1711586520000,69599.30,69664.70,69580.00,69644.50,435.331,1711586699999,30312121.01460,6915,256.601,17867473.20680,0
1711586700000,69644.70,69858.30,69600.90,69825.00,539.645,1711586879999,37635364.36830,9216,316.041,22042514.80080,0
1711586880000,69824.90,69835.50,69758.90,69824.90,343.789,1711587059999,23995127.44550,5698,166.192,11599886.93340,0
1711587060000,69824.80,69824.90,69720.10,69788.10,215.133,1711587239999,15007343.25670,4764,83.805,5846183.37380,0
1711587240000,69788.10,69837.80,69729.00,69752.90,303.860,1711587419999,21202624.64640,5225,162.856,11364089.79170,0
1711587420000,69752.80,69785.40,69718.00,69747.10,188.193,1711587599999,13126644.81890,3189,63.357,4418805.16250,0
1711587600000,69747.10,69805.40,69702.10,69785.60,281.195,1711587779999,19615211.63900,5460,153.752,10725735.83180,0
1711587780000,69785.60,69785.60,69645.00,69673.30,262.514,1711587959999,18290729.11130,6417,98.283,6847106.23510,0
1711587960000,69673.20,69731.70,69654.20,69663.90,166.482,1711588139999,11601857.15440,3773,92.683,6458829.89360,0
1711588140000,69664.00,69695.00,69598.80,69688.40,305.469,1711588319999,21275035.46550,5859,125.851,8767048.50440,0
1711588320000,69688.50,69698.90,69630.80,69671.70,162.655,1711588499999,11330918.48690,3405,71.713,4995551.35980,0
1711588500000,69671.80,69671.80,69568.00,69569.90,315.790,1711588679999,21981443.16720,5429,107.471,7480651.40400,0
1711588680000,69569.90,69620.00,69526.90,69614.80,451.582,1711588859999,31410811.08470,6317,206.077,14335226.67920,0
1711588860000,69614.80,69628.30,69573.20,69585.50,187.401,1711589039999,13044027.48490,3052,91.430,6364163.24670,0
1711589040000,69585.50,69655.20,69523.20,69523.30,220.136,1711589219999,15317000.87400,4217,66.800,4649382.73290,0
1711589220000,69523.30,69544.00,69400.30,69486.40,595.425,1711589399999,41366532.26830,9672,194.997,13547426.99000,0
1711589400000,69486.40,69493.30,69357.10,69387.90,525.567,1711589579999,36476029.27300,9284,248.983,17280663.15410,0
1711589580000,69387.90,69585.50,69387.90,69569.80,401.312,1711589759999,27890190.96950,7285,293.861,20421744.57110,0
1711589760000,69568.40,69636.60,69568.40,69599.90,244.404,1711589939999,17011127.08230,5045,122.806,8546995.25790,0
1711589940000,69599.90,69621.00,69551.60,69590.60,178.643,1711590119999,12430666.89150,3437,83.698,5824061.49450,0
1711590120000,69590.70,69612.20,69507.30,69526.10,159.792,1711590299999,11114115.04430,3529,67.548,4698291.87230,0
1711590300000,69526.10,69587.60,69515.10,69567.60,180.358,1711590479999,12543051.04970,4212,86.774,6035116.43920,0
1711590480000,69567.60,69579.90,69443.90,69488.30,316.226,1711590659999,21980389.67880,5800,103.802,7215661.14740,0
1711590660000,69488.30,69512.00,69462.20,69492.00,292.778,1711590839999,20342086.74550,4337,101.875,7078217.99300,0
1711590840000,69491.90,69527.60,69458.00,69497.90,221.607,1711591019999,15399737.16010,3594,123.696,8596210.71540,0
1711591020000,69498.00,69520.00,69466.10,69506.10,132.780,1711591199999,9227382.99970,2514,87.367,6071386.04630,0
1711591200000,69506.00,69557.60,69405.00,69557.60,352.412,1711591379999,24484211.78790,5707,196.641,13664743.52570,0
1711591380000,69556.00,69642.60,69556.00,69591.00,231.769,1711591559999,16133602.67480,4790,141.148,9824879.39880,0
1711591560000,69591.10,69624.30,69561.00,69580.10,126.943,1711591739999,8833855.20060,2688,58.574,4076038.12700,0
1711591740000,69580.10,69598.80,69541.40,69584.00,101.289,1711591919999,7045967.37150,2377,35.850,2493748.67190,0
1711591920000,69584.10,69633.10,69572.60,69625.00,132.495,1711592099999,9222781.56370,2752,78.728,5480104.90810,0
1711592100000,69625.00,69625.00,69538.30,69572.90,167.353,1711592279999,11641804.54510,3701,71.027,4940681.53410,0
1711592280000,69572.90,69607.20,69493.00,69504.30,380.047,1711592459999,26425803.23710,5063,130.361,9065729.56210,0
1711592460000,69504.40,69567.30,69490.60,69550.00,163.576,1711592639999,11372919.32870,3220,88.177,6130380.49240,0
1711592640000,69550.00,69555.00,69489.40,69521.40,192.090,1711592819999,13354837.87540,2828,105.852,7359397.67480,0
1711592820000,69521.40,69524.50,69490.90,69505.40,119.347,1711592999999,8295752.66360,3680,46.750,3249575.92070,0
1711593000000,69505.30,69517.00,69212.30,69241.10,952.313,1711593179999,66021251.42850,14506,294.997,20449015.70950,0
1711593180000,69241.20,69280.70,69075.90,69209.90,1422.082,1711593359999,98373662.36260,17910,506.594,35049253.97910,0
1711593360000,69209.80,69276.70,69187.50,69191.70,416.945,1711593539999,28863478.26870,5963,173.417,12006470.79400,0
1711593540000,69188.50,69225.30,69084.40,69163.50,550.374,1711593719999,38055747.92610,9562,263.906,18249234.96460,0
1711593720000,69163.50,69185.80,69033.00,69036.40,463.637,1711593899999,32038549.02330,7461,192.963,13336113.84970,0
1711593900000,69036.40,69215.20,68941.00,69182.00,1137.998,1711594079999,78595610.87360,17932,666.199,46024737.02220,0
1711594080000,69181.90,69216.50,69046.70,69117.60,430.325,1711594259999,29751906.44700,8144,181.001,12515407.17910,0
1711594260000,69117.50,69199.10,69095.70,69198.40,254.252,1711594439999,17580015.89990,4807,178.788,12362355.62540,0
1711594440000,69196.90,69205.80,69134.70,69186.20,173.481,1711594619999,12000195.21370,4166,100.921,6981086.87930,0
