open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715731200000,6.8433000,6.9212000,6.8125000,6.8502000,751180.9,1715734799999,5156965.15456000,32405,365165.7,2508400.49948000,0
1715734800000,6.8501000,6.9577000,6.8464000,6.9277000,563927.4,1715738399999,3895288.93131000,21440,292811.7,2022270.73149000,0
1715738400000,6.9276000,6.9857000,6.8748000,6.9388000,605840.9,1715741999999,4200142.20377000,23117,299043.1,2073949.51810000,0
1715742000000,6.9385000,6.9443000,6.8692000,6.8729000,495455.6,1715745599999,3421160.81605000,19484,196756.5,1359035.56761000,0
1715745600000,6.8724000,6.9600000,6.8648000,6.9550000,563099.8,1715749199999,3895473.05474000,19056,308047.1,2130916.90478000,0
1715749200000,6.9550000,7.0555000,6.9474000,7.0150000,916736.3,1715752799999,6429348.82190000,33430,483940.8,3392726.25369000,0
1715752800000,7.0148000,7.0176000,6.9620000,6.9985000,622008.5,1715756399999,4346137.49181000,24460,290428.3,2029689.60253000,0
1715756400000,6.9985000,7.0143000,6.9065000,6.9634000,1076243.4,1715759999999,7484847.52517000,35183,561564.2,3905733.41355000,0
1715760000000,6.9634000,7.0032000,6.9390000,6.9492000,719921.9,1715763599999,5016673.93495000,24835,339171.3,2364358.42629000,0
1715763600000,6.9489000,6.9674000,6.8660000,6.9193000,1364062.2,1715767199999,9442519.12811000,35491,635297.9,4399716.81367000,0
1715767200000,6.9193000,6.9299000,6.8473000,6.8998000,838986.4,1715770799999,5773092.49879000,31608,433581.5,2983553.77623000,0
1715770800000,6.8996000,6.9301000,6.8310000,6.8667000,860352.9,1715774399999,5915641.86828000,31476,392868.8,2701608.20723000,0
1715774400000,6.8671000,7.0500000,6.8596000,6.9658000,2132179.9,1715777999999,14869061.48988000,75265,1115136.4,7780652.32464000,0
1715778000000,6.9657000,7.0261000,6.9293000,6.9876000,1854969.6,1715781599999,12934953.55180000,63247,924577.8,6449347.58205000,0
1715781600000,6.9876000,7.0210000,6.9395000,6.9612000,1151682.4,1715785199999,8039448.31961000,39205,559141.8,3904811.59920000,0
1715785200000,6.9621000,7.0048000,6.9224000,6.9498000,1214807.5,1715788799999,8455188.02444000,41676,551779.6,3841349.79559000,0
1715788800000,6.9503000,6.9739000,6.9108000,6.9458000,861297.8,1715792399999,5983720.59094000,32282,396446.7,2754885.43898000,0
1715792400000,6.9455000,6.9976000,6.9391000,6.9891000,641800.9,1715795999999,4478737.46686000,26569,336292.9,2346684.71525000,0
1715796000000,6.9893000,7.0359000,6.9652000,6.9892000,1025851.5,1715799599999,7182404.32571000,36789,546690.5,3828425.64743000,0
1715799600000,6.9890000,6.9995000,6.9405000,6.9830000,628163.2,1715803199999,4380523.39340000,28955,274656.7,1915537.31025000,0
1715803200000,6.9829000,7.0097000,6.9595000,6.9976000,709092.9,1715806799999,4956024.32957000,27423,342712.0,2395518.78193000,0
1715806800000,6.9976000,7.1464000,6.9348000,6.9477000,1893100.4,1715810399999,13306833.00988000,54626,1009381.6,7099840.72250000,0
1715810400000,6.9477000,6.9910000,6.8772000,6.9529000,1096420.1,1715813999999,7610032.77603000,38796,530941.0,3687018.59636000,0
1715814000000,6.9528000,7.0056000,6.9295000,6.9926000,517158.5,1715817599999,3607190.66807000,20917,260892.8,1820540.96237000,0
