open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713484800000,0.5021,0.5022,0.4974,0.4979,20882019.6,1713486599999,10423000.72323,15502,9227851.5,4605543.08107,0
1713486600000,0.4979,0.5000,0.4955,0.4958,13584892.5,1713488399999,6763497.66217,13305,7075406.3,3523324.37244,0
1713488400000,0.4957,0.4961,0.4865,0.4883,56390372.9,1713490199999,27657128.57465,37589,26594743.7,13045505.78332,0
1713490200000,0.4883,0.4899,0.4767,0.4794,103305622.2,1713491999999,49723386.73562,66382,48262273.4,23223708.22432,0
1713492000000,0.4795,0.4816,0.4672,0.4674,96427047.5,1713493799999,45784417.79438,68826,43728729.3,20770661.43076,0
1713493800000,0.4674,0.4783,0.4660,0.4780,107353351.4,1713495599999,50644722.17507,70112,53171942.0,25081636.51451,0
1713495600000,0.4780,0.4876,0.4769,0.4866,70606762.7,1713497399999,34025790.34980,50496,32469521.9,15648633.72305,0
1713497400000,0.4866,0.4875,0.4834,0.4843,28257535.7,1713499199999,13704534.63182,22977,12640951.6,6130926.01627,0
1713499200000,0.4843,0.4902,0.4839,0.4878,30413417.3,1713500999999,14840339.24156,24466,16178547.9,7895684.65842,0
1713501000000,0.4878,0.4920,0.4876,0.4894,26373889.1,1713502799999,12917907.19309,20480,14073456.0,6893012.19379,0
1713502800000,0.4895,0.4909,0.4853,0.4860,24257888.8,1713504599999,11827136.42392,18581,10405381.3,5072328.56641,0
1713504600000,0.4860,0.4897,0.4843,0.4867,28702815.8,1713506399999,13973834.21699,20762,15151955.2,7374752.98425,0
1713506400000,0.4867,0.4869,0.4826,0.4850,31421005.3,1713508199999,15213472.27842,21535,17480435.3,8464068.48801,0
1713508200000,0.4851,0.5017,0.4851,0.4991,112203637.4,1713509999999,55612420.01150,65997,58828433.1,29156148.37709,0
1713510000000,0.4991,0.5038,0.4939,0.4950,78861427.9,1713511799999,39338616.44652,49879,36711640.5,18320038.93870,0
1713511800000,0.4949,0.4964,0.4934,0.4950,31506823.9,1713513599999,15592886.81024,22191,16533598.7,8182627.41167,0
1713513600000,0.4951,0.5015,0.4942,0.4990,50171254.2,1713515399999,25001048.03453,31534,29286776.0,14596987.23443,0
1713515400000,0.4990,0.5018,0.4967,0.5008,33763419.9,1713517199999,16854610.24770,22766,16768376.7,8369561.08825,0
1713517200000,0.5008,0.5022,0.4983,0.4987,33167545.8,1713518999999,16586417.20470,19401,15419011.9,7711618.91068,0
1713519000000,0.4987,0.4998,0.4972,0.4983,33040956.9,1713520799999,16470913.38291,18051,19743723.7,9842844.80069,0
1713520800000,0.4983,0.5004,0.4967,0.4981,26961110.3,1713522599999,13444463.63168,17181,14068488.6,7015207.54141,0
1713522600000,0.4981,0.5009,0.4967,0.5001,17953535.3,1713524399999,8955037.85615,13233,9300435.4,4638252.76554,0
