batch_size;epochs;model__current_dropout;model__current_neiron;model__current_window;model__model_number;model__num_features;threshold;num_samples;period;date_df;coin;time;best_score
64;80;0.3;200;3;5;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 2128.92 - cpu 8;-0.08843007683753967
32;60;0.3;200;3;5;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 2256.26 - cpu 8;-0.018734967336058617
32;80;0.3;200;5;5;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 4097.74 - cpu 50;-0.038144078105688095
96;100;0.3;200;8;5;6;0.02;26330;5m;2024-03,2024-04,2024-05;TONUSDT;time 5501.78 - cpu 50;-0.06870705634355545
96;100;0.3;200;13;5;6;0.02;26320;5m;2024-03,2024-04,2024-05;TONUSDT;time 3838.12 - cpu 8;-0.07684739679098129
64;100;0.3;200;21;5;6;0.02;26304;5m;2024-03,2024-04,2024-05;TONUSDT;time 5137.57 - cpu 6;-0.07866773257652919
96;100;0.3;200;34;5;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 6906.10 - cpu 4;-0.09543612847725551
96;100;0.3;200;34;6;6;0.01;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 3671.85 - cpu 4;-0.10660584270954132
64;100;0.3;200;34;6;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 3771.38 - cpu 4;-0.06485254441698392
32;100;0.1;50;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1426.66 - cpu 4;-0.08835555116335551
32;100;0.1;100;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1410.91 - cpu 4;-0.08843997369209926
64;100;0.1;150;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1260.76 - cpu 4;-0.08830081671476364
32;100;0.1;200;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1425.15 - cpu 4;-0.08832398056983948
32;100;0.15;50;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1414.58 - cpu 4;-0.08839378257592519
64;80;0.15;100;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1219.15 - cpu 4;-0.08846352746089299
32;100;0.15;150;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1420.16 - cpu 4;-0.08828614403804143
32;80;0.15;200;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1344.61 - cpu 4;-0.08844688534736633
32;100;0.2;50;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1415.71 - cpu 4;-0.08839098364114761
32;80;0.2;100;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1350.51 - cpu 4;-0.08835422992706299
96;100;0.2;150;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1209.70 - cpu 4;-0.08843515316645305
32;100;0.2;200;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1408.25 - cpu 4;-0.08830823252598445
32;100;0.25;50;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1415.96 - cpu 4;-0.08844341337680817
32;80;0.25;100;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1340.11 - cpu 4;-0.08848729729652405
32;100;0.25;150;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1428.39 - cpu 4;-0.0882228712240855
96;100;0.25;200;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1198.88 - cpu 4;-0.08850682775179546
32;100;0.3;50;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1422.26 - cpu 4;-0.08840930213530858
32;100;0.3;100;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1410.73 - cpu 4;-0.08852228025595348
32;100;0.3;150;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1425.74 - cpu 4;-0.08832479765017827
32;100;0.3;200;3;7;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1420.24 - cpu 4;-0.08844795326391856
128;80;0.1;50;3;7;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1152.39 - cpu 4;-0.018726248914996784
96;80;0.1;100;3;7;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1175.11 - cpu 4;-0.018725894391536713
128;60;0.1;150;3;7;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1148.71 - cpu 4;-0.018728358671069145
32;100;0.1;200;3;7;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1414.16 - cpu 4;-0.018729216729601223
