batch_size;epochs;model__current_dropout;model__current_neiron;model__current_window;model__model_number;model__num_features;threshold;num_samples;period;date_df;coin;time;best_score
64;100;0.1;150;3;1;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 20663.28 - cpu 2;-0.08098000784715016
96;100;0.15;150;3;1;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 20663.28 - cpu 2;-0.08085678269465764
32;100;0.3;150;3;2;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1773.59 - cpu 4;-0.014940802939236164
96;100;0.3;200;3;2;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 2611.73 - cpu 4;-0.014941808146735033
32;80;0.3;150;8;2;6;0.02;26330;5m;2024-03,2024-04,2024-05;TONUSDT;time 2885.21 - cpu 4;-0.03872634222110113
32;80;0.3;200;8;2;6;0.02;26330;5m;2024-03,2024-04,2024-05;TONUSDT;time 4518.78 - cpu 4;-0.03864703824122747
64;100;0.3;150;13;2;6;0.02;26320;5m;2024-03,2024-04,2024-05;TONUSDT;time 4347.61 - cpu 4;-0.031199447810649872
96;80;0.3;200;13;2;6;0.02;26320;5m;2024-03,2024-04,2024-05;TONUSDT;time 7111.02 - cpu 4;-0.03125294049580892
128;60;0.3;200;21;3;6;0.02;26304;5m;2024-03,2024-04,2024-05;TONUSDT;time 10588.57 - cpu 4;-0.04028817266225815
96;100;0.3;200;34;3;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 18237.31 - cpu 4;-0.049346366276343666
128;100;0.1;50;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 639.83 - cpu 4;-0.014932311760882536
128;100;0.1;100;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 969.63 - cpu 4;-0.014926262510319551
128;100;0.1;150;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1700.96 - cpu 4;-0.014927255300184092
32;60;0.1;200;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 3040.85 - cpu 4;-0.014927393446365992
128;100;0.15;50;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 689.90 - cpu 4;-0.014928045061727365
128;100;0.15;100;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1104.01 - cpu 4;-0.014923001949985823
64;30;0.15;150;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1700.53 - cpu 4;-0.014923105016350746
128;80;0.15;200;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 2510.78 - cpu 4;-0.01492494810372591
64;100;0.2;50;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 658.02 - cpu 4;-0.01492872896293799
96;100;0.2;100;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 971.47 - cpu 4;-0.01492693399389585
96;60;0.2;150;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1468.49 - cpu 4;-0.01492518000304699
64;30;0.2;200;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 2463.70 - cpu 4;-0.014936438761651516
64;60;0.25;50;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 643.51 - cpu 4;-0.014925194904208183
96;80;0.25;100;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 937.89 - cpu 4;-0.014930539454023043
96;80;0.25;150;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1467.21 - cpu 4;-0.014928830477098623
96;60;0.25;200;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 2476.84 - cpu 4;-0.014925822305182615
128;80;0.3;50;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 635.13 - cpu 4;-0.014929369712869326
96;100;0.3;100;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 968.30 - cpu 4;-0.014928600129981836
64;60;0.3;150;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 1476.10 - cpu 4;-0.01492191944271326
128;60;0.3;200;3;3;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 2489.53 - cpu 4;-0.014929501650234064
64;80;0.1;50;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 865.30 - cpu 4;-0.04241714750727018
32;100;0.1;100;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 1422.54 - cpu 4;-0.042371408392985664
96;100;0.1;150;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 2071.72 - cpu 4;-0.04240131750702858
64;80;0.1;200;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 3293.99 - cpu 4;-0.042436931282281876
32;60;0.15;50;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 890.54 - cpu 4;-0.04240437224507332
64;100;0.15;100;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 1371.45 - cpu 4;-0.04235274096330007
64;100;0.15;150;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 2154.60 - cpu 4;-0.04238118107120196
64;100;0.15;200;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 3386.39 - cpu 4;-0.042390486846367516
32;100;0.2;50;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 970.33 - cpu 4;-0.04240833967924118
64;100;0.2;100;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 1374.75 - cpu 4;-0.04241182406743368
32;100;0.2;150;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 2157.61 - cpu 4;-0.04237477108836174
32;100;0.2;200;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 3883.65 - cpu 4;-0.042365995546182
32;100;0.25;50;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 1076.94 - cpu 4;-0.04240815589825312
32;100;0.25;100;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 1669.00 - cpu 4;-0.042401799311240516
64;80;0.25;150;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 2475.79 - cpu 4;-0.04240805779894193
64;100;0.25;200;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 3953.81 - cpu 4;-0.04237258310119311
64;100;0.3;50;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 1016.67 - cpu 4;-0.042416442185640335
32;100;0.3;100;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 1558.91 - cpu 4;-0.04236774891614914
96;100;0.3;150;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 2287.23 - cpu 4;-0.042411141097545624
96;100;0.3;200;5;3;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 3549.89 - cpu 4;-0.04236717397967974
96;100;0.3;200;8;3;6;0.02;26330;5m;2024-03,2024-04,2024-05;TONUSDT;time 4965.01 - cpu 4;-0.038556775699059166
128;100;0.3;200;13;3;6;0.02;26320;5m;2024-03,2024-04,2024-05;TONUSDT;time 7326.05 - cpu 4;-0.031101421763499577
32;100;0.3;200;21;3;6;0.02;26304;5m;2024-03,2024-04,2024-05;TONUSDT;time 11745.36 - cpu 4;-0.03875437751412392
64;100;0.3;200;34;3;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 18159.67 - cpu 4;-0.04727925732731819
64;60;0.3;200;21;4;6;0.02;26304;5m;2024-03,2024-04,2024-05;TONUSDT;time 11794.24 - cpu 4;-0.042436499148607254
32;80;0.3;200;34;4;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 18196.22 - cpu 4;-0.04918918634454409
128;80;0.3;200;21;4;6;0.02;26304;5m;2024-03,2024-04,2024-05;TONUSDT;time 12380.11 - cpu 4;-0.042769864201545715
32;100;0.3;200;34;4;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 18289.44 - cpu 4;-0.048829668511947
64;80;0.3;200;3;5;6;0.01;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 2128.92 - cpu 8;-0.08843007683753967
32;60;0.3;200;3;5;6;0.02;26340;5m;2024-03,2024-04,2024-05;TONUSDT;time 2256.26 - cpu 8;-0.018734967336058617
32;80;0.3;200;5;5;6;0.02;26336;5m;2024-03,2024-04,2024-05;TONUSDT;time 4097.74 - cpu 50;-0.038144078105688095
96;100;0.3;200;8;5;6;0.02;26330;5m;2024-03,2024-04,2024-05;TONUSDT;time 5501.78 - cpu 50;-0.06870705634355545
96;100;0.3;200;13;5;6;0.02;26320;5m;2024-03,2024-04,2024-05;TONUSDT;time 3838.12 - cpu 8;-0.07684739679098129
64;100;0.3;200;21;5;6;0.02;26304;5m;2024-03,2024-04,2024-05;TONUSDT;time 5137.57 - cpu 6;-0.07866773257652919
96;100;0.3;200;34;5;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 6906.10 - cpu 4;-0.09543612847725551
64;100;0.3;200;21;5;6;0.02;26304;5m;2024-03,2024-04,2024-05;TONUSDT;time 30117.09 - cpu 4;-0.039367460956176124
32;100;0.3;200;34;5;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 47390.70 - cpu 4;-0.04719128335515658
32;100;0.3;200;21;5;6;0.02;26304;5m;2024-03,2024-04,2024-05;TONUSDT;time 30015.65 - cpu 4;-0.038810273011525474
32;100;0.3;200;34;5;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 48885.53 - cpu 2;-0.046613006542126335
64;100;0.3;200;34;6;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 3771.38 - cpu 4;-0.06485254441698392
32;100;0.3;200;21;6;6;0.02;26304;5m;2024-03,2024-04,2024-05;TONUSDT;time 11854.81 - cpu 4;-0.037949495017528534
128;100;0.3;200;34;6;6;0.02;26278;5m;2024-03,2024-04,2024-05;TONUSDT;time 18807.50 - cpu 4;-0.038987758258978523
